model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA__Size-640x640_Epoch-11_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,11,0.13829768191147918,0.972593494283742,2024-05-28 12:38:48.157880,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-12_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,12,0.04580531775653777,0.9823818673769118,2024-05-28 12:50:53.924598,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-12_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,12,0.12831647096177692,0.9724951329724545,2024-05-28 12:50:53.924598,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-13_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,13,0.04482756867014251,0.9827815729332265,2024-05-28 13:03:05.430931,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-13_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,13,0.12946010460266202,0.9721378510573816,2024-05-28 13:03:05.430931,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-14_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,14,0.04381553600105458,0.9830759351090514,2024-05-28 13:15:18.748787,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-14_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,14,0.13321940264873336,0.9726013183593757,2024-05-28 13:15:18.748787,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-15_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,15,0.04262285767713878,0.9836029896940842,2024-05-28 13:27:25.713432,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-15_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,15,0.1351788561722938,0.9728238020272092,2024-05-28 13:27:25.713432,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-16_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,16,0.04367691047477798,0.9834205071914736,2024-05-28 13:39:56.367476,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-16_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,16,0.11725425794881222,0.9726105315109778,2024-05-28 13:39:56.367476,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-17_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,17,0.04284637985530417,0.9835129429463927,2024-05-28 13:52:21.984112,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-17_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,17,0.13219696055326996,0.9727280136634566,2024-05-28 13:52:21.984112,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-18_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,18,0.0421844547017017,0.9837141047297305,2024-05-28 14:04:33.529244,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-18_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,18,0.12779846072301332,0.9727584207469027,2024-05-28 14:04:33.529244,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-19_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,19,0.042149064109241664,0.983782982272829,2024-05-28 14:16:39.118733,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-19_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,19,0.1285184628966441,0.9728992593699494,2024-05-28 14:16:39.118733,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-20_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,20,0.041717019347793795,0.9838412616287001,2024-05-28 14:29:05.409218,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-20_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,20,0.13316495755410368,0.9728818906586741,2024-05-28 14:29:05.409218,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-21_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,21,0.04261150737019146,0.9835484520164691,2024-05-28 14:41:22.181469,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-21_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,21,0.11784330220864925,0.9724866985452593,2024-05-28 14:41:22.181469,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-22_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,22,0.04136719418517854,0.9839389159379982,2024-05-28 14:53:37.511820,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-22_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,22,0.13621914260699575,0.9730455701104528,2024-05-28 14:53:37.512311,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-23_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,23,0.04209176707673753,0.9838079280883604,2024-05-28 15:05:49.514772,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-23_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,23,0.12625996224935457,0.973210359770676,2024-05-28 15:05:49.514772,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-24_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,24,0.040201622391614136,0.98431902037895,2024-05-28 15:18:01.485474,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-24_Images-1258_Batch-1__random_distortion.pth,random_7_operations,test,24,0.1335875824894676,0.9727653976966599,2024-05-28 15:18:01.485474,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-25_Images-1258_Batch-1__random_distortion.pth,random_7_operations,train,25,0.040529273649520685,0.984309485697784,2024-05-28 15:30:15.754913,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

