model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA__Size-640x640_Epoch-11_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,11,0.05049866027803274,0.9805210796155425,2023-06-18 18:13:26.532904,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-12_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,12,0.053911284277481694,0.9800844833877059,2023-06-18 18:15:55.891976,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-12_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,12,0.04965933737459413,0.9818351022820726,2023-06-18 18:15:55.891976,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-13_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,13,0.051743330423730416,0.9808001239483168,2023-06-18 18:18:29.027925,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-13_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,13,0.04665499825537074,0.982689669425028,2023-06-18 18:18:29.027925,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-14_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,14,0.051280686718790415,0.9804387287517174,2023-06-18 18:21:00.037826,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-14_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,14,0.04620746425107906,0.9829968475877192,2023-06-18 18:21:00.037826,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-15_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,15,0.04784818383568263,0.9824194067651097,2023-06-18 18:23:31.627416,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-15_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,15,0.052360663288518,0.9814029733758226,2023-06-18 18:23:31.627416,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-16_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,16,0.04923469758500437,0.9820197807563527,2023-06-18 18:26:04.483260,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-16_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,16,0.04811106658981819,0.9820988598204496,2023-06-18 18:26:04.483260,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-17_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,17,0.0507811393772999,0.9813116924579324,2023-06-18 18:28:34.404043,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-17_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,17,0.04548504704756564,0.9833662709018642,2023-06-18 18:28:34.404043,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-18_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,18,0.04783412117183536,0.9820177149510647,2023-06-18 18:31:04.123353,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-18_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,18,0.04430625736386629,0.9835981937876919,2023-06-18 18:31:04.123353,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-19_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,19,0.05138860083604743,0.9811469780219789,2023-06-18 18:33:34.701327,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-19_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,19,0.04535283764268745,0.9830818684895836,2023-06-18 18:33:34.701327,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-20_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,20,0.0461924725447546,0.9826920930631867,2023-06-18 18:36:06.233158,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-20_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,20,0.04421480001652973,0.9835966625548245,2023-06-18 18:36:06.233158,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-21_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,21,0.051946521076568206,0.9809869451837231,2023-06-18 18:38:36.973905,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-21_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,21,0.044549824743482624,0.9832616330866222,2023-06-18 18:38:36.973905,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-22_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,22,0.048023401237614866,0.9816627183851311,2023-06-18 18:41:06.505574,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-22_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,22,0.045532449732714315,0.9828345690275495,2023-06-18 18:41:06.505574,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-23_Images-182_Batch-1__random_distortion.pth,random_7_operations,train,23,0.04714935779530596,0.9821535885989011,2023-06-18 18:43:39.344692,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

ORCA__Size-640x640_Epoch-23_Images-182_Batch-1__random_distortion.pth,random_7_operations,test,23,0.04395908083799377,0.9834936844675174,2023-06-18 18:43:39.344692,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion']

